form,r2,mae,max_abs_prediction_difference_vs_centered
centered Q_score,0.5911989532134605,0.3649499426683967,0.0
mirrored |Q_score-1| = 1-Q_score,0.5911989532134605,0.3649499426683967,4.440892098500626e-16
