parameter,estimate,ci_low,ci_high,bootstrap_n
A,2.082391174331089,2.0544603082300688,2.098262336909867,1000
B,1.2551649038674146,1.2317229120699063,1.2875643089070088,1000
alpha,0.06613379367800964,0.0650250101294096,0.06733036922626628,1000
beta,0.27624940798071945,0.26478518634365017,0.28270153203221293,1000
