parameter,value,fit_stage,ci_low,ci_high
E,1.6897677881936655,stage2_beta_relaxed,1.6896893787014202,1.6899130882761046
A,0.35401355312801835,stage2_beta_relaxed,0.35391162640393964,0.3540532276923355
B,1.240286855547955,stage2_beta_relaxed,1.2401839085319684,1.2404253082299794
alpha,0.33995712733518363,stage2_beta_relaxed,0.33991940629852185,0.34002888434048223
beta,0.2798761244890228,stage2_beta_relaxed,0.27983180127712526,0.2799263356572095
beta_prior_B1,0.279878,stage1_fixed_and_stage2_penalty,,
beta_penalty_lambda,10.0,stage2_penalty,,
