fold,r2,mae,rmse,n,alpha,beta
1,0.9803889490893116,0.04099920442223375,0.04544206232200505,236,0.06613383182743206,0.2762490513546747
2,0.9812075443908791,0.04313547850110108,0.047504973002983,235,0.06602562400047803,0.27168863174885827
3,0.982946502761997,0.04080626737956132,0.04559677303630996,235,0.06596331805646694,0.27373566204805805
4,0.9793803084351269,0.041464422125938004,0.04671185001012092,235,0.0662233684764439,0.2737580680053146
5,0.9843994553813724,0.0406776354843874,0.04520546984509775,235,0.06639260840582699,0.27517146810743576
