lambda,c,A,B,gamma,alpha,beta,theta,alpha_minus_B1,beta_minus_B1,r2,mae,rmse,n,physical_sign
0.0,-7.3020095575010915,1.392151359534567,7.1187184098446785,1.653806131005356,0.13202503229747212,0.01000000000000024,0.8654986902534396,-0.2079321015927704,-0.2698759062932916,0.6012248711593837,0.38452792095488525,0.5271390479543695,2090,dL/dQ_quality<0; dL/dQ_defect>0
0.1,-7.3016822092978675,1.3917976467431834,7.118728475387541,1.6538075144295408,0.13206418301634432,0.010000000000001279,0.8654962327356583,-0.2078929508738982,-0.26987590629329056,0.6012248705828647,0.3845258367444035,0.5271390483354186,2090,dL/dQ_quality<0; dL/dQ_defect>0
1.0,-7.298852497425139,1.3887395367613873,7.11881701363071,1.6538183764060062,0.1324036672183849,0.010000000000000111,0.8654769791899838,-0.20755346667185762,-0.2698759062932917,0.6012248172379226,0.38450769415884367,0.5271390835936367,2090,dL/dQ_quality<0; dL/dQ_defect>0
10.0,-7.271609766967619,1.359224548435357,7.119696042425891,1.653925794108012,0.1357655109901961,0.010000000000002042,0.8652866640296869,-0.20419162290004642,-0.2698759062932898,0.601219620371134,0.38433188393543305,0.5271425184396222,2090,dL/dQ_quality<0; dL/dQ_defect>0
