holdout_N,r2,mae,rmse,n
0.070542,0.9999992254998012,0.00016875513617828334,0.00022023036982749463,147
0.162405,0.9999994723236179,0.00013714205489344405,0.00018181804496408057,147
0.409009,0.9999997085296161,0.0001075616940715925,0.0001351102720394814,147
1.040867,0.9999996182261525,0.00010865729715464585,0.00015459770870519495,147
1.416184,0.9999997222244792,9.996923428835839e-05,0.0001319167480758132,147
2.782831,0.9999997909482737,8.191470740862791e-05,0.00011441463049256372,147
6.86104,0.999999708793098,8.315612388929749e-05,0.0001350424005969722,147
11.965825,0.9999998339785703,7.586911699725858e-05,0.00010197532008074569,147
