fold,n,slope,intercept,dataset,data_status,r2,mae,rmse,spearman
1,206,1.5781949661535888,-0.13267535489648563,B2_affine_calibrated,5fold_affine_recalibration,0.4036173486639717,0.27740151533877544,0.4278814658556067,0.7891972921168425
2,206,1.586405629472585,-0.15670922955515795,B2_affine_calibrated,5fold_affine_recalibration,0.5058504751540981,0.2577736979884768,0.3568009158329476,0.7788490148322157
3,206,1.6445518062702287,-0.2840588126642387,B2_affine_calibrated,5fold_affine_recalibration,0.3600177685387155,0.2566258368183804,0.37549971632684775,0.7618677304533091
4,206,1.5856205970606325,-0.14319913870445286,B2_affine_calibrated,5fold_affine_recalibration,0.5006069191463107,0.23132313106961722,0.33489172150283536,0.8012339611814947
5,205,1.585287818300067,-0.14648101622171747,B2_affine_calibrated,5fold_affine_recalibration,0.4542595402828926,0.2475664262373917,0.37636280027050384,0.8116388172318345
