budget_1e21,budget_flops,context_tokens,cost_function,quality_cost_scale,optimizer_success,constraint_violation_1e21,N_params_B,D_tokens_B,Q_target,loss,classic_loss,quality_loss,long_context_gain,mix_linear_loss,mix_kl_penalty,Q_bar,Q_effective,composition_KL,train_cost_1e21,quality_cost_1e21,attention_cost_1e21,total_cost_1e21,train_cost_share,quality_cost_share,attention_cost_share,N_to_D_ratio,p_top_domain,p_top_share,p_min,mix_effect_scale,mix_kl_weight,message
10.0,1e+22,2048,exponential,0.3,True,2.4513724383723456e-13,5.198413346116129,290.6089749191964,0.9897416778055431,2.12019732461508,2.145480518682462,0.010174608765457664,0.023608160417241994,-0.020942028128479423,0.009092385712881481,0.47148810373935796,0.99,0.303079523762716,9.064233442326467,0.3169815546776256,0.6187850029961535,10.000000000000245,0.9064233442326245,0.031698155467761786,0.06187850029961383,0.01788800000950261,stackexchange,0.17875352362621783,0.0011309523428850768,0.08,0.03,Optimization terminated successfully
10.0,1e+22,2048,exponential,1.0,True,3.552713678800501e-15,5.60135141024176,252.919349818545,0.9897435372516341,2.1251813735163645,2.150467119397311,0.010174608765457664,0.023608160417241994,-0.020921092282761514,0.009068898053599166,0.47150258803249623,0.99,0.30229660178663886,8.500140940701217,0.9195827710802499,0.5802762882185364,10.000000000000004,0.8500140940701213,0.09195827710802496,0.05802762882185362,0.02214678874613748,stackexchange,0.17884150490108003,0.001074324850134259,0.08,0.03,Optimization terminated successfully
10.0,1e+22,2048,exponential,3.0,True,0.0,6.548817533096465,189.10708277650374,0.9897020997756706,2.1374657676705424,2.162619985279382,0.010174608833532056,0.023608160417241994,-0.021262433248218113,0.009541767223088452,0.473306971089652,0.9899999999384302,0.31805890743628173,7.430566675916954,2.0621733056238303,0.507260018409264,9.999999999950049,0.7430566675954071,0.2062173305634131,0.050726001841179785,0.0346302075889785,stackexchange,0.1804881769402422,0.002439046820379881,0.08,0.03,Optimization terminated successfully
10.0,1e+22,2048,exponential,10.0,True,1.0956568985420745e-11,8.885819241304779,107.17119144334163,0.9897232168789335,2.168182142454723,2.1934672158071473,0.010174610120348242,0.023608160417241994,-0.020949212787290766,0.009097689731760129,0.4723363423134015,0.9899999987745719,0.30325632439200434,5.713823010244819,3.8961133389334246,0.39006365083271294,10.000000000010957,0.5713823010238559,0.3896113338929156,0.03900636508322856,0.08291238645044326,stackexchange,0.17836878465052644,0.0010344411734831678,0.08,0.03,Optimization terminated successfully
10.0,1e+22,2048,exponential,30.0,True,8.457234912384592e-12,13.140986517658485,51.747282143234,0.9896588547177397,2.223002112111737,2.2482520933698824,0.010174609302648437,0.023608160417241994,-0.021140492112283797,0.009324061968731643,0.4752945587790867,0.9899999995141389,0.3108020656243881,4.080062021818247,5.641405744167417,0.2785322340227923,10.000000000008457,0.4080062021814796,0.5641405744162646,0.027853223402255677,0.25394544357488885,stackexchange,0.17657919224839932,0.001007183112806459,0.08,0.03,Optimization terminated successfully
10.0,1e+22,2048,exponential,100.0,True,1.0480505352461478e-13,22.008601943265862,19.82212633271203,0.9896701750138895,2.325902408337482,2.3511588799592946,0.010174621282392441,0.023608160417241994,-0.021007264344462144,0.009184331857499202,0.47477374655682425,0.9899999886790837,0.30614439524997344,2.6175437287547245,7.203765286029059,0.17869098521632254,10.000000000000105,0.2617543728754697,0.7203765286028984,0.017869098521632067,1.11030479646099,stackexchange,0.17679799033002203,0.0011241416307479798,0.08,0.03,Optimization terminated successfully
10.0,1e+22,2048,exponential,300.0,True,0.0,37.01653286127978,7.533862524408664,0.9896435055146969,2.473046634821279,2.4982805323341437,0.010174609140355189,0.023608160417241994,-0.021072420741043776,0.009272074505066254,0.47600003817641856,0.9899999996609247,0.30906915016887515,1.6732648182428254,8.212506969758008,0.11422821159204355,9.999999999592879,0.16732648183109475,0.8212506970092357,0.011422821159669402,4.913353905961434,stackexchange,0.17640453433642259,0.0010829911922033972,0.08,0.03,Optimization terminated successfully
10.0,1e+22,2048,exponential,1000.0,True,0.0,36.80718967134949,7.613345715276027,0.8027335129802062,2.684358187165165,2.4964135449144034,0.20145301687169223,0.023608160417241994,-0.0198664117467358,0.029966197543047423,0.5810481851855319,0.8439601997997686,0.9988732514349141,1.681355158654324,8.203864329174174,0.11478051216413519,9.999999999992632,0.1681355158655563,0.8203864329180218,0.011478051216421977,4.834561708855096,arxiv,0.6650889273749334,0.00103658734593692,0.08,0.03,Optimization terminated successfully
10.0,1e+22,2048,exponential,3000.0,True,0.0,5.007484616672388,311.56556231144606,0.4596150318931771,2.702458696216592,2.1431746122904602,0.5402174627026618,0.023608160417241994,-0.01823769037084679,0.06091247201155866,0.642149020227876,0.6132220924936185,2.030415733718622,9.36095856215669,0.0,0.63904143784323,9.99999999999992,0.9360958562156764,0.0,0.0639041437843235,0.01607200930527368,arxiv,0.9768781144003856,0.0010069749161015359,0.08,0.03,Optimization terminated successfully
10.0,1e+22,2048,exponential,10000.0,True,1.2789769243681803e-13,5.007491298911676,311.56514654325304,0.4596150318931771,2.7024500926755604,2.143174612290428,0.5401121644626691,0.023608160417241994,-0.018241935478335122,0.06101341181804087,0.6422642251228765,0.6132914700277856,2.0337803939346957,9.360958562156885,0.0,0.6390414378432433,10.000000000000128,0.9360958562156765,0.0,0.06390414378432352,0.016072052199896856,arxiv,0.9774662284114745,0.0010001098867976218,0.08,0.03,Optimization terminated successfully
