budget_1e21,N_params_B,D_tokens_B,Q_target,loss,train_cost_1e21,quality_cost_1e21,attention_cost_1e21,total_cost_1e21,train_cost_share,quality_cost_share,attention_cost_share,coefficient_source,bootstrap_draw,context_tokens_fixed
0.01,2.6712030873021213,0.4575154895511196,0.9899999999999999,1.3058108788085117,0.007332700729064953,0.0016661411998656547,0.0010011580728750016,0.010000000001805608,0.7332700727740954,0.16661411995648148,0.10011580726942318,b6_b8_lambda10,0,4096
10.0,68.52255281985326,18.97373413967863,0.9899999999999993,0.5518639581600316,7.800772198655892,0.06909693963898847,2.1301308617129693,10.00000000000785,0.7800772198649769,0.006909693963893423,0.2130130861711297,b6_b8_lambda10,0,8192
1000.0,735.364900791708,177.91527153469033,0.99,0.31013792275552066,784.9958760086241,0.647916782620999,214.35620720875497,1000.0000000000001,0.7849958760086241,0.0006479167826209989,0.21435620720875495,b6_b8_lambda10,0,8192
0.01,2.4118605233195503,0.49779291887670746,0.9899999999999999,1.296050947534449,0.007203642538960452,0.0018128201341458478,0.0009835373279860672,0.010000000001092366,0.7203642538173551,0.18128201339478214,0.09835373278786289,b6_b8_lambda10,1,4096
10.0,71.25511255386263,18.250947224198377,0.99,0.5271870235593438,7.8028397920491726,0.06646475540455549,2.130695452548894,10.000000000002622,0.7802839792047127,0.006646475540453806,0.21306954525483354,b6_b8_lambda10,1,8192
1000.0,847.2009895933278,154.44249780868438,0.99,0.28794719337910485,785.0630218726966,0.5624356212762905,214.37454250603767,1000.0000000000106,0.7850630218726883,0.0005624356212762846,0.2143745425060354,b6_b8_lambda10,1,8192
0.01,2.7089387815417636,0.4521917813810866,0.99,1.3751023347807039,0.007349759119666082,0.0016467537698862764,0.0010034871118050758,0.010000000001357435,0.73497591186684,0.16467537696627402,0.10034871116688589,b6_b8_lambda10,2,4096
10.0,74.12959220522102,17.547763488611867,0.99,0.5869415379982175,7.804851309146786,0.06390396037205154,2.1312447308176825,10.00000000033652,0.7804851308884136,0.006390396036990104,0.21312447307459617,b6_b8_lambda10,2,8192
1000.0,830.287757373001,157.5867363534592,0.99,0.33289592774435534,785.0540275118641,0.5738860431774043,214.37208644590635,1000.0000000009478,0.78505402751112,0.0005738860431768604,0.21437208644570316,b6_b8_lambda10,2,8192
0.01,2.6436326258219096,0.46148503601604235,0.9899999999999978,1.3044183150867432,0.007319981385243652,0.0016805971583217672,0.0009994214584652667,0.010000000002030685,0.7319981383757195,0.1680597157980491,0.09994214582623158,b6_b8_lambda10,3,4096
10.0,77.77960101845196,16.729306213238704,0.99,0.5504631611675658,7.807192575487295,0.06092337191554497,2.131884052613064,10.000000000015904,0.7807192575474878,0.0060923371915448075,0.21318840526096736,b6_b8_lambda10,3,8192
1000.0,914.376462463639,143.10215651720054,0.989999999999999,0.3106232580178047,785.0954618826948,0.5211373258572256,214.38340079143452,999.9999999999866,0.7850954618827054,0.0005211373258572325,0.2143834007914374,b6_b8_lambda10,3,8192
0.01,2.9473252516887,0.4212279378551643,0.99,1.3104454844988662,0.007448974427743706,0.0015339922643570342,0.0010170333085346075,0.010000000000635348,0.7448974427270436,0.15339922642595724,0.10170333084699905,b6_b8_lambda10,4,4096
10.0,78.19517281225922,16.640936356593347,0.99,0.5517688893169771,7.807445364969745,0.060601554048509455,2.131953080994405,10.000000000012658,0.7807445364959862,0.006060155404843275,0.21319530809917064,b6_b8_lambda10,4,8192
1000.0,845.4606606533513,154.76022905051414,0.99,0.3081469992874709,785.0621129754699,0.5635927080298263,214.37429431650165,1000.0000000000013,0.7850621129754689,0.0005635927080298257,0.21437429431650137,b6_b8_lambda10,4,8192
0.01,2.3264837684899913,0.5126503259845195,0.99,1.3296416133880375,0.007156035973884526,0.0018669265822789808,0.0009770374449677005,0.010000000001131206,0.715603597307503,0.18669265820677927,0.09770374448571774,b6_b8_lambda10,5,4096
10.0,62.57068410776507,20.76491170041155,0.99,0.5425046911058271,7.795648383192515,0.07561989852971396,2.1287317185037695,10.000000000225999,0.7795648383016335,0.007561989852800496,0.21287317184556603,b6_b8_lambda10,5,8192
1000.0,703.3497209948467,186.008160232257,0.9899999999999999,0.2974238724439018,784.9727256127363,0.6773887799476302,214.34988560731787,1000.0000000000018,0.7849727256127349,0.0006773887799476291,0.2143498856073175,b6_b8_lambda10,5,8192
0.01,2.2451588779151623,0.5276515028980499,0.99,1.3657675414125237,0.007107968737061008,0.001921556599126342,0.0009704746649000629,0.010000000001087412,0.710796873628808,0.19215565989173897,0.09704746647945324,b6_b8_lambda10,6,4096
10.0,69.11882024353743,18.811174694702263,0.989999999999999,0.5648682694987122,7.801237213757434,0.06850494440628452,2.130257841836697,10.000000000000416,0.7801237213757111,0.006850494440628167,0.21302578418366086,b6_b8_lambda10,6,8192
1000.0,855.3123823760909,152.97865152466312,0.99,0.3156232632988492,785.0672093294485,0.5571047097338835,214.37568596089474,1000.0000000000771,0.785067209329388,0.0005571047097338406,0.21437568596087822,b6_b8_lambda10,6,8192
0.01,2.567421912641384,0.4728248884616971,0.99,1.2923234763822842,0.007283645876872678,0.0017218936735034715,0.0009944604503890162,0.010000000000765166,0.7283645876315358,0.1721893673371718,0.09944604503129234,b6_b8_lambda10,7,4096
10.0,77.450370613298,16.799985011787516,0.9899999999999997,0.5259634534314651,7.806990392764769,0.06118076398402918,2.1318288432509664,9.999999999999766,0.7806990392764952,0.0061180763984030615,0.21318288432510163,b6_b8_lambda10,7,8192
1000.0,923.6237886339972,141.67015616508598,0.99,0.2878834449912812,785.0995582414005,0.5159223881351831,214.38451937045178,999.9999999999875,0.7850995582414103,0.0005159223881351895,0.21438451937045447,b6_b8_lambda10,7,8192
0.01,2.559791665858442,0.47399100642934355,0.9899999999999998,1.3169506617380664,0.0072799093676981326,0.001726140343253833,0.000993950292336385,0.01000000000328835,0.7279909365304243,0.17261403426862176,0.09939502920095394,b6_b8_lambda10,8,4096
10.0,67.09150830311471,19.37558336876978,0.9899999999999658,0.5623155725884521,7.799622674781054,0.07056036016136936,2.1298169650602135,10.000000000002638,0.7799622674778997,0.007056036016135075,0.21298169650596516,b6_b8_lambda10,8,8192
1000.0,736.8045293870506,177.567871004269,0.99,0.3193492374053126,784.9968697773655,0.6466516487625628,214.35647857387264,1000.0000000000008,0.7849968697773649,0.0006466516487625623,0.21435647857387247,b6_b8_lambda10,8,8192
