coefficient_source,parameter_group,value
b6_b8_lambda10,A,0.8111223284534963
b6_b8_lambda10,B,0.564107070056112
b6_b8_lambda10,alpha,0.233424927866452
b6_b8_lambda10,beta,0.26250335770697
b6_b8_lambda10,gamma,1.516492330402016
b6_b8_lambda10,theta,1.086828487392446
b1,A,2.082391174331089
b1,B,1.2551649038674146
b1,alpha,0.0661337936780096
b1,beta,0.2762494079807194
b1,gamma,1.516492330402016
b1,theta,1.086828487392446
