budget_1e21,budget_flops,coefficient_source,context_tokens,cost_function,frontier_method,loss,N_params_B,D_tokens_B,Q_target,train_cost_share,quality_cost_share,attention_cost_share
0.01,1e+19,b1_mixed_pythia_quality,4096,exponential,piecewise_log_interpolation_of_optimized_grid,3.556406709646417,0.21520441337931498,6.814208169516537,0.45961503189849434,0.8798686039547576,2.6519527176348874e-09,0.12013139339328957
0.011659144011798317,1.1659144011798317e+19,b1_mixed_pythia_quality,4187,exponential,piecewise_log_interpolation_of_optimized_grid,3.5355740616126234,1.0333145446200291,6.793912096492815,0.4689912781235974,0.8632294444881122,0.01851317541043922,0.11825738010144848
0.013593563908785255,1.3593563908785254e+19,b1_mixed_pythia_quality,4278,exponential,piecewise_log_interpolation_of_optimized_grid,3.51474141357883,1.851424675860743,6.773616023469094,0.47836752434870045,0.8465902850214668,0.03702634816892573,0.11638336680960738
0.015848931924611134,1.5848931924611133e+19,b1_mixed_pythia_quality,4369,exponential,piecewise_log_interpolation_of_optimized_grid,3.4939087655450365,2.6695348071014573,6.7533199504453725,0.4877437705738035,0.8299511255548214,0.055539520927412225,0.11450935351776628
0.018478497974222907,1.8478497974222905e+19,b1_mixed_pythia_quality,4460,exponential,piecewise_log_interpolation_of_optimized_grid,3.473076117511243,3.4876449383421715,6.733023877421651,0.49712001679890655,0.813311966088176,0.07405269368589873,0.1126353402259252
0.021544346900318832,2.154434690031883e+19,b1_mixed_pythia_quality,4551,exponential,piecewise_log_interpolation_of_optimized_grid,3.452243469477449,4.305755069582885,6.71272780439793,0.5064962630240096,0.7966728066215306,0.09256586644438523,0.11076132693408411
0.025118864315095794,2.5118864315095794e+19,b1_mixed_pythia_quality,4642,exponential,piecewise_log_interpolation_of_optimized_grid,3.431410821443656,5.123865200823599,6.692431731374208,0.5158725092491127,0.7800336471548852,0.11107903920287172,0.10888731364224301
0.029286445646252372,2.928644564625237e+19,b1_mixed_pythia_quality,4733,exponential,piecewise_log_interpolation_of_optimized_grid,3.410578173409862,5.941975332064316,6.672135658350487,0.5252487554742158,0.7633944876882397,0.12959221196135828,0.10701330035040191
0.034145488738336005,3.4145488738336006e+19,b1_mixed_pythia_quality,4824,exponential,piecewise_log_interpolation_of_optimized_grid,3.3897455253760684,6.760085463305027,6.651839585326766,0.5346250016993188,0.7467553282215944,0.14810538471984475,0.10513928705856082
0.039810717055349734,3.9810717055349735e+19,b1_mixed_pythia_quality,4915,exponential,piecewise_log_interpolation_of_optimized_grid,3.368912877342275,7.578195594545744,6.631543512303044,0.5440012479244218,0.7301161687549489,0.1666185574783313,0.10326527376671972
0.046415888336127774,4.641588833612777e+19,b1_mixed_pythia_quality,5006,exponential,piecewise_log_interpolation_of_optimized_grid,3.3480802293084815,8.396305725786455,6.611247439279323,0.5533774941495249,0.7134770092883036,0.18513173023681775,0.10139126047487863
0.054116952654646375,5.411695265464638e+19,b1_mixed_pythia_quality,5097,exponential,piecewise_log_interpolation_of_optimized_grid,3.327247581274688,9.214415857027172,6.590951366255601,0.562753740374628,0.6968378498216581,0.2036449029953043,0.09951724718303753
0.06309573444801933,6.309573444801933e+19,b1_mixed_pythia_quality,5188,exponential,piecewise_log_interpolation_of_optimized_grid,3.3064149332408945,10.032525988267887,6.57065529323188,0.572129986599731,0.6801986903550127,0.22215807575379082,0.09764323389119645
0.07356422544596414,7.356422544596414e+19,b1_mixed_pythia_quality,5279,exponential,piecewise_log_interpolation_of_optimized_grid,3.285582285207101,10.8506361195086,6.550359220208159,0.5815062328248342,0.6635595308883673,0.2406712485122773,0.09576922059935535
0.08576958985908942,8.576958985908942e+19,b1_mixed_pythia_quality,5370,exponential,piecewise_log_interpolation_of_optimized_grid,3.264749637173307,11.668746250749315,6.530063147184437,0.5908824790499372,0.6469203714217219,0.2591844212707638,0.09389520730751424
