budget_1e21,budget_flops,context_tokens,cost_function,quality_cost_scale,optimizer_success,constraint_violation_1e21,N_params_B,D_tokens_B,Q_target,loss,classic_loss,quality_loss,long_context_gain,mix_linear_loss,mix_kl_penalty,Q_bar,Q_effective,composition_KL,train_cost_1e21,quality_cost_1e21,attention_cost_1e21,total_cost_1e21,train_cost_share,quality_cost_share,attention_cost_share,N_to_D_ratio,p_top_domain,p_top_share,p_min,mix_effect_scale,mix_kl_weight,message,coefficient_source,boundary_scheme,context_selection_note
0.01,1e+19,4096,exponential,3.0,True,0.0,0.21520441337931498,6.814208169516537,0.45961503189849434,3.556406709646417,3.011443197160854,0.5402139140219584,0.03792723352971346,-0.018238381644053916,0.060915213637371776,0.6421529020666483,0.6132244305846195,2.030507121245726,0.008798686030592053,2.6519527149356634e-11,0.0012013139327101683,0.00999999998982175,0.8798686039547576,2.6519527176348874e-09,0.12013139339328957,0.03158171984560659,arxiv,0.9768968404226803,0.0010051581437210257,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,exponential,3.0,True,0.0,0.2152108352957037,6.814004857756855,0.4596150318931771,3.5564064170325085,3.0114431963173542,0.5401202990586536,0.03792723352971346,-0.018235156484040376,0.061005311670254754,0.6422553236717379,0.613286110372587,2.033510389008492,0.008798686062881013,0.0,0.0012013139371186876,0.0099999999999997,0.8798686062881277,0.0,0.12013139371187237,0.03158360461846667,arxiv,0.977422489848786,0.0010031159284639816,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,logarithmic,3.0,True,1.8313475735887152e-14,0.21521374287872166,6.813912799128005,0.4596150318931771,3.556410701005349,3.0114431963089845,0.5401962044094941,0.03792723352971346,-0.018235297008572786,0.06093383082515692,0.6421722750668821,0.6132360987942942,2.0311276941718974,0.00879868606289739,0.0,0.001201313937120924,0.010000000000018314,0.8798686062881277,0.0,0.12013139371187238,0.03158445803801058,arxiv,0.9770017685319318,0.0010091957306598573,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,logarithmic,3.0,True,0.0,0.2152118190779565,6.813973709387792,0.4596150318931771,3.5564082545145714,3.011443196312097,0.5402275450946349,0.03792723352971346,-0.018237477475879078,0.060902224113432074,0.6421379915276629,0.6132154495949781,2.0300741371144024,0.008798686062880307,0.0,0.0012013139371185914,0.009999999999998899,0.8798686062881276,0.0,0.12013139371187237,0.031583893372152796,arxiv,0.9768219948858893,0.0010078957411500471,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,power,3.0,True,1.240327285323417e-15,0.21521187339761455,6.813971989536687,0.4596150318931771,3.5564079871242367,3.011443196311835,0.540183793880493,0.03792723352971346,-0.018238806244808885,0.060947036706431285,0.6421858519859006,0.6132442756517409,2.0315678902143763,0.008798686062882368,0.0,0.0012013139371188726,0.01000000000000124,0.8798686062881276,0.0,0.12013139371187236,0.03158390931575399,arxiv,0.9770663479088765,0.001005084867367225,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
0.01,1e+19,4096,power,3.0,True,0.0,0.21521189570715188,6.813971283177458,0.4596150318931771,3.556408979425214,3.011443196311797,0.5401287458428815,0.03792723352971346,-0.018232977166699,0.06099724796694827,0.6422460808745464,0.6132805450321989,2.0332415988982757,0.00879868606288029,0.0,0.001201313937118589,0.009999999999998878,0.8798686062881277,0.0,0.12013139371187238,0.03158391586393586,arxiv,0.9773800175540436,0.0010089247536294685,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
10.0,1e+22,8192,exponential,3.0,True,0.0,37.03016031921146,5.900884883449074,0.881546112028132,2.6189375481257064,2.5481441853757163,0.1250298772390618,0.051879883005803235,-0.02065788893267598,0.018301257449407415,0.5411842493496026,0.8993999038894961,0.6100419149802472,1.311064279555984,8.330927767831106,0.35800795260408735,9.999999999991177,0.13110642795571406,0.8330927767838456,0.035800795260440325,6.275357179577326,arxiv,0.4655979683824782,0.0010631808351890006,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
10.0,1e+22,8192,exponential,3.0,True,0.0,37.03016031921146,5.900884883449074,0.881546112028132,2.6189375481257064,2.5481441853757163,0.1250298772390618,0.051879883005803235,-0.02065788893267598,0.018301257449407415,0.5411842493496026,0.8993999038894961,0.6100419149802472,1.311064279555984,8.330927767831106,0.35800795260408735,9.999999999991177,0.13110642795571406,0.8330927767838456,0.035800795260440325,6.275357179577326,arxiv,0.4655979683824782,0.0010631808351890006,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
10.0,1e+22,8192,logarithmic,3.0,True,8.881784197001252e-15,53.58113122504503,2.9695104324708055,0.9897113099970098,2.6422764765222975,2.6958227691074548,0.010174613426634586,0.051879883005803235,-0.02088288168406199,0.00904185867807337,0.4728834590284947,0.9899999957842078,0.30139528926911235,0.9546583689381506,8.78465625245048,0.2606853786113777,10.000000000000009,0.09546583689381498,0.8784656252450472,0.026068537861137747,18.0437592133537,stackexchange,0.17743693297649102,0.001208121877300413,0.08,0.03,Optimization terminated successfully,b1,expanded,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
10.0,1e+22,8192,logarithmic,3.0,True,8.881784197001252e-15,53.58113122504503,2.9695104324708055,0.9897113099970098,2.6422764765222975,2.6958227691074548,0.010174613426634586,0.051879883005803235,-0.02088288168406199,0.00904185867807337,0.4728834590284947,0.9899999957842078,0.30139528926911235,0.9546583689381506,8.78465625245048,0.2606853786113777,10.000000000000009,0.09546583689381498,0.8784656252450472,0.026068537861137747,18.0437592133537,stackexchange,0.17743693297649102,0.001208121877300413,0.08,0.03,Optimization terminated successfully,b1,legacy,代理 Loss 条件最小；Lctx 是外生情景，不代表真实长文架构最优
