coefficient_source,budget_1e21,n_draws,N_params_B_median,N_params_B_ci_low,N_params_B_ci_high,D_tokens_B_median,D_tokens_B_ci_low,D_tokens_B_ci_high,Q_target_median,Q_target_ci_low,Q_target_ci_high,train_cost_share_median,train_cost_share_ci_low,train_cost_share_ci_high,quality_cost_share_median,quality_cost_share_ci_low,quality_cost_share_ci_high,attention_cost_share_median,attention_cost_share_ci_low,attention_cost_share_ci_high,loss_median,loss_ci_low,loss_ci_high
b1,0.01,200,0.21520636733960657,0.21508025657927088,0.2153261327459083,6.8141463252304,6.810356264993343,6.81814175080178,0.4596150318931771,0.4596150318931771,0.4596150318932512,0.8798686062881276,0.8798686062556,0.8798686062881277,0.0,0.0,3.696879904772042e-11,0.12013139371187234,0.12013139370743126,0.12013139371187238,3.7635763810934657,3.679551046436516,3.860828273094778
b1,10.0,200,45.40216233452067,35.89254346999534,52.26440536991188,4.037733294311417,3.108093853616297,6.2530785351429135,0.9455459773736723,0.8718414768083474,0.99,0.10999257112948976,0.09744000422780753,0.13466333556341767,0.8599721241140843,0.828564596272065,0.8759523786177191,0.03003530475642601,0.026607617154473313,0.03677206816451725,2.666727770640884,2.6300070586133457,2.6821260663029194
b1,1000.0,200,153.52129479588046,153.4774551242856,153.55667442502693,250.57339434620457,250.55642769456605,250.59442128482146,0.99,0.9899999999999931,0.99,0.23081011164856702,0.23076356428243716,0.2308476707539926,0.7061633405305976,0.7061155252854505,0.7062225984308387,0.06302654782083539,0.06301383728672419,0.06303680396055691,2.0047417600435,1.999349421500805,2.0150971071525476
b6_b8_lambda10,0.01,200,1.959490336982793,1.6162947002994474,2.3892368369914383,0.7483825287962258,0.6137724761040413,0.9072909142022862,0.4596150318931772,0.4596150318931771,0.4596150318931819,0.8798686062881231,0.8798686062879014,0.8798686062881277,5.067648441853219e-15,0.0,2.569605978922386e-13,0.12013139371187176,0.12013139371184148,0.12013139371187238,2.0553117208434015,1.9385692433017911,2.174956121478012
b6_b8_lambda10,10.0,200,265.009560460996,241.3104601513126,287.0199036283053,2.06507533258878,1.9957840250528,2.1452713795562675,0.99,0.9899999999999977,0.99,0.32835877570088484,0.3106057645242879,0.34369780304258796,0.5819773879477268,0.562449783539916,0.6045781547096133,0.08966383635138829,0.08481608076609888,0.09385241341749602,0.6748789361162093,0.6391561592273687,0.7098340964511858
b6_b8_lambda10,1000.0,200,1240.7653064496985,1091.1945648162318,1401.7722193491893,81.32956807217084,73.9345261859964,89.66065580468117,0.99,0.9899999999999871,0.99,0.6054654285935659,0.5870228869443752,0.6218358441216536,0.22920214503848446,0.20836151471019357,0.2526807300606807,0.1653324263679497,0.16029638299494403,0.16980264116815288,0.3192144998333068,0.2962800325595217,0.3435621543344473
