budget_1e21,budget_flops,context_tokens,cost_function,quality_cost_scale,optimizer_success,constraint_violation_1e21,N_params_B,D_tokens_B,Q_target,loss,classic_loss,quality_loss,long_context_gain,mix_linear_loss,mix_kl_penalty,Q_bar,Q_effective,composition_KL,train_cost_1e21,quality_cost_1e21,attention_cost_1e21,total_cost_1e21,train_cost_share,quality_cost_share,attention_cost_share,N_to_D_ratio,p_top_domain,p_top_share,p_min,mix_effect_scale,mix_kl_weight,message,coefficient_source,boundary_scheme
0.01,1e+19,2048,exponential,3.0,True,0.0,2.0712092359837726,0.753260333748166,0.4596150318931771,1.8515601651564253,1.2922757993769516,0.5402516701184137,0.023608160417241994,-0.018239780218247948,0.06088063629654991,0.6421116037934166,0.613199554588773,2.0293545432183304,0.009360958562156524,0.0,0.0006390414378432187,0.009999999999999742,0.9360958562156765,0.0,0.06390414378432352,2.7496592388949956,arxiv,0.9766849314556002,0.0010055273837291693,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,expanded
10.0,1e+22,2048,exponential,3.0,True,4.803268893738277e-12,303.54671870619234,2.101404892769699,0.9897117023201206,0.652593952012032,0.6778739384760305,0.010174617054489443,0.023608160417241994,-0.020961691880795105,0.009115248779549164,0.47286527211942164,0.9899999925030019,0.30384162598497216,3.827247359240281,5.911479221040386,0.26127341972413654,10.000000000004803,0.38272473592384426,0.5911479221037547,0.026127341972401102,144.44942036187558,stackexchange,0.17800018955128957,0.0011075139909949034,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,expanded
1000.0,1e+24,2048,exponential,3.0,False,3.336049303470645e-08,1386.6073793755977,85.4608895633202,0.9897430532138978,0.2999077017609144,0.3251924376604757,0.010174608793679695,0.023608160417241994,-0.020959187414780645,0.009108003138781672,0.4714246912187704,0.9899999999744746,0.30360010462605574,711.0042006990167,240.45791256662423,48.537886767719534,1000.0000000333605,0.7110042006752972,0.24045791255860244,0.04853788676610029,16.22505202626313,stackexchange,0.17893184817388555,0.001110906696872307,0.08,0.03,Iteration limit reached,b6_b8_lambda10,expanded
10000.0,1e+25,2048,exponential,3.0,True,0.0,3686.7781129874916,378.1515960291485,0.9897423539478734,0.21260593894494528,0.23789156813309015,0.010174608765457664,0.023608160417241994,-0.020946884745618247,0.009094807209257684,0.47151897506765583,0.99,0.30316024030858946,8364.966165789314,1063.9854772927852,571.0483569178839,9999.999999999982,0.8364966165789329,0.1063985477292787,0.057104835691788494,9.74947124830675,stackexchange,0.1788911577833584,0.0010770434181842285,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,expanded
100000.0,1e+26,2048,exponential,3.0,True,0.0,5000.000000000004,2868.2989677707355,0.9898684117739232,0.15545727325803232,0.1807450527880007,0.010174608765457664,0.023608160417241994,-0.020933402830511323,0.009079174952327289,0.4714912780093686,0.99,0.3026391650775763,86048.96903312212,8076.754680882287,5874.2762859944705,99999.99999999886,0.860489690331231,0.0807675468088238,0.05874276285994537,1.7431934593227019,stackexchange,0.17886604707119766,0.0010077592135217131,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,expanded
1000000.0,1e+27,2048,exponential,3.0,True,0.0,5000.000000000004,3999.9999999999995,0.9898264824736684,0.14963363024823417,0.17491829662520877,0.010174608765457664,0.023608160417241994,-0.020943917948232908,0.009092803223042642,0.47144982889811393,0.99,0.3030934407680881,120000.00000000007,11260.520743477171,8192.000000000005,139452.52074347725,0.8605079302993737,0.08074806165885583,0.05874400804177057,1.250000000000001,stackexchange,0.17890513729885396,0.0011163030254771062,0.08,0.03,Optimization terminated successfully,b6_b8_lambda10,expanded
0.01,1e+19,2048,exponential,3.0,True,1.8283985436795547e-15,0.2213175722407971,7.049416567168318,0.4596150318931771,3.558219110365164,2.9989352757745884,0.5402461726418368,0.023608160417241994,-0.018240129434345994,0.06088595180032702,0.64211761668484,0.6132031766496234,2.0295317266775674,0.009360958562158477,0.0,0.0006390414378433521,0.010000000000001829,0.9360958562156765,0.0,0.06390414378432352,0.0313951615899042,arxiv,0.9767152644667809,0.0010048421353082147,0.08,0.03,Optimization terminated successfully,b1,expanded
10.0,1e+22,2048,exponential,3.0,True,0.0,41.41262002848742,6.113678670518699,0.8769664536033048,2.64114060439257,2.5368293695012523,0.12960863970293188,0.023608160417241994,-0.02058602665100624,0.01889678225663392,0.5438073570307738,0.8960145231211947,0.6298927418877973,1.5191007105507541,8.377195347606946,0.10370394184026482,9.999999999997966,0.15191007105510632,0.837719534760865,0.010370394184028593,6.773764579448182,arxiv,0.4785966500119146,0.001017584326998053,0.08,0.03,Optimization terminated successfully,b1,expanded
1000.0,1e+24,2048,exponential,3.0,True,5.184119800105691e-11,173.44240920442914,254.79124769136155,0.9897103954470254,1.9889175623533761,2.0141965987542805,0.010174608765457664,0.023608160417241994,-0.020976361964478985,0.009130877215358948,0.4729452126034941,0.99,0.3043625738452983,265.14964706275316,716.7494703644813,18.100882572817284,1000.0000000000518,0.2651496470627394,0.7167494703644441,0.018100882572816345,0.6807235757741829,stackexchange,0.1780550530474435,0.0011196361052481483,0.08,0.03,Optimization terminated successfully,b1,expanded
10000.0,1e+25,2048,exponential,3.0,True,0.0,313.3751347038673,2073.77250082502,0.98973511312779,1.860996207487712,1.8862387053986331,0.010174608787298952,0.023608160417241994,-0.02064676902542731,0.008837822744449355,0.47178962978308137,0.9899999999802457,0.29459409148164517,3899.212420747298,5834.60134438332,266.1862345896822,9999.9999997203,0.38992124208563594,0.5834601344546514,0.026618623459712745,0.15111355492427234,stackexchange,0.17862696030333458,0.001010283504166546,0.08,0.03,Optimization terminated successfully,b1,expanded
