Q,g_relative_exponential,g_relative_power,g_relative_logarithmic
0.4596150318931771,0.0,0.0,0.0
0.4649188815742453,0.0013148120307700684,0.002193664001904509,0.013957999177060417
0.47022273125531355,0.002672138333866016,0.004463703406681198,0.02778556139150719
0.4755265809363818,0.004073353602634961,0.006811870715495038,0.0414851019465839
0.48083043061745,0.00551987698095074,0.009239938308858978,0.055058969674176575
0.48613428029851824,0.00701317350051581,0.011749698446633896,0.06850944935179824
0.49143812997958647,0.008554755564638066,0.014342963268028579,0.08183876401070074
0.4967419796606547,0.010146184479985455,0.017021564791599775,0.09504907714095401
0.5020458293417229,0.01178907203786954,0.019787354915252155,0.10814249479896423
0.5073496790227912,0.013485082146659846,0.02264220541623832,0.12112106762255664
0.5126535287038594,0.015235932516981928,0.025588007951158856,0.13398679275845593
0.5179573783849276,0.017043396401406216,0.02862667405596219,0.14674161570668773
0.5232612280659958,0.018909304390389393,0.03176013514594476,0.15938743208616407
0.5285650777470641,0.020835546266287353,0.03499034251575091,0.17192608932546305
0.5338689274281323,0.022824072917317372,0.03831926733937294,0.18435938828256734
0.5391727771092005,0.024876898313408037,0.04174890067015106,0.19668908479712174
0.5444766267902688,0.02699610154593802,0.04528125344077344,0.20891689117854567
0.549780476471337,0.02918382893342945,0.048918356463276136,0.2210444776331678
0.5550843261524052,0.03144229619532873,0.05266226042904321,0.23307347363334457
0.5603881758334734,0.03377379069607617,0.05651503590880661,0.24500546923138006
0.5656920255145417,0.03618067376173734,0.06047877335264625,0.25684201632088777
0.5709958751956099,0.038665383071542436,0.06455558308998992,0.2685846298481049
0.5762997248766781,0.04123043512675567,0.06874759532961339,0.28023478897551574
0.5816035745577464,0.04387842779937527,0.07305696015964043,0.2917939382000289
0.5869074242388146,0.0466120429632454,0.07748584754754258,0.3032634884278111
0.5922112739198828,0.049434049210244635,0.0820364473401395,0.31464481800778726
0.597515123600951,0.0523473046543021,0.08671096926359864,0.3259392737256961
0.6028189732820193,0.05535475982608107,0.09151164292343551,0.33714817176048917
0.6081228229630875,0.05845946066126182,0.0964407178045134,0.3482727986047855
0.6134266726441557,0.06166455158545021,0.10150046327104369,0.35931441195097635
0.618730522325224,0.06497327869883616,0.10669316856658556,0.3702742415445138
0.6240343720062922,0.06838899306382809,0.11202114281404625,0.3811534900058332
0.6293382216873604,0.07191515409899205,0.11748671501568088,0.3919533336222766
0.6346420713684287,0.07555533308273382,0.12309223405309248,0.4026749231113272
0.6399459210494969,0.07931321677027206,0.12884006868723205,0.4133193843563896
0.6452497707305651,0.08319261112756543,0.1347326075583985,0.42388781911629386
0.6505536204116333,0.08719744518597626,0.14077225918623873,0.4343813057096427
0.6558574700927016,0.09133177502157398,0.1469614519697475,0.44480089967505904
0.6611613197737698,0.09559978786310885,0.1533026341872675,0.45514763440835315
0.666465169454838,0.10000580633281635,0.15979827399648946,0.46542252177756754
0.6717690191359063,0.10455429282434764,0.16645085943445198,0.47562655271681104
0.6770728688169745,0.10924985402225985,0.17326289841754153,0.485760697799759
0.6823767184980427,0.1140972455676431,0.1802369187414927,0.4958259077936487
0.6876805681791109,0.11910137687461032,0.18737546808138775,0.5058231141945578
0.6929844178601792,0.12426731610252746,0.19468111399165713,0.5157532297447219
0.6982882675412474,0.12960029528902023,0.2021564439060791,0.5256171489326106
0.7035921172223156,0.13510571564895596,0.20980406513777983,0.535415748476444
0.7088959669033839,0.14078915304476686,0.2176266048792334,0.5451498877918041
0.7141998165844521,0.14665636363365622,0.2256267102022621,0.5548204094439683
0.7195036662655203,0.1527132896974058,0.23380704805803568,0.5644281395855536
0.7248075159465885,0.158966065660689,0.2421703052770724,0.57397388838005
0.7301113656276568,0.16542102430398622,0.25071918856923786,0.5834584504117721
0.735415215308725,0.1720847031773932,0.259456424523746,0.5928826050827615
0.7407190649897932,0.17896385122181951,0.2683847596091587,0.6022471169971284
0.7460229146708615,0.18606543560428232,0.27750696017338544,0.6115527363333035
0.7513267643519297,0.19339664877421858,0.28682581244368394,0.620800199204665
0.7566306140329979,0.20096491574796221,0.29634412252665976,0.6299902280089604
0.7619344637140661,0.2087779016287639,0.3060647164082664,0.6391235317669449
0.7672383133951344,0.21684351936996923,0.3159904399538054,0.648200806450638
0.7725421630762026,0.22516993778921926,0.32612415890792595,0.6572227353015648
0.7778460127572708,0.2337655898417879,0.3364687588946253,0.6661899891393602
0.7831498624383391,0.24263918116143746,0.347027145417249,0.6751032266610746
0.7884537121194073,0.2517996988774413,0.3578022438584899,0.6839630947315227
0.7937575618004755,0.26125642071670396,0.36879699948038935,0.6927702286649872
0.7990614114815437,0.2710189244001965,0.38001437742433625,0.7015252524985891
0.804365261162612,0.28109709734322513,0.3914573627110676,0.7102287792576236
0.8096691108436802,0.2915011466693565,0.4031289602406684,0.7188814112131277
0.8149729605247484,0.30224160954814144,0.4150321947925713,0.7274837401319706
0.8202768102058167,0.3133293638671085,0.42717011102555735,0.7360363475197139
0.8255806598868849,0.3247756392488337,0.43954577347775514,0.7445398048564855
0.8308845095679531,0.3365920284242475,0.4521622665666413,0.7529946738261298
0.8361883592490214,0.34879049897369463,0.4650226945890405,0.7614015065388302
0.8414922089300896,0.3613834054476402,0.4781301817211251,0.7697608457474614
0.8467960586111578,0.37438350187929714,0.4914878720184157,0.7780732250578478
0.852099908292226,0.3878039547018478,0.5050989294157806,0.7863391691331613
0.8574037579732943,0.4016583560833423,0.5189665377274364,0.7945591938926372
0.8627076076543625,0.4159607376927785,0.5330939006469471,0.8027338067047993
0.8680114573354307,0.43072558491130725,0.5474842417472249,0.8108635065753791
0.873315307016499,0.4459678515029543,0.5621408044805298,0.8189487843301014
0.8786191566975672,0.4617029747597182,0.5770668521784704,0.8269901227925004
0.8839230063786354,0.4779468911363836,0.5922656680520023,0.834987996956932
0.8892268560597036,0.4947160523908829,0.6077405551914296,0.842942874156937
0.8945307057407719,0.5120274422465556,0.6234948365664038,0.8508552142290999
0.8998345554218401,0.5298985935931789,0.6395318550259254,0.858725469672548
0.9051384051029083,0.5483476062441914,0.6558549732983415,0.8665540858042414
0.9104422547839766,0.5673931652680945,0.6724675739913482,0.8743415009101619
0.9157461044650448,0.587054559912597,0.6893730595919888,0.8820881463925573
0.921049954146113,0.6073517031406697,0.706574852466655,0.8897944469133421
0.9263538038271812,0.628305151798295,0.7240763948610864,0.8974608205337895
0.9316576535082495,0.6499361274343396,0.7418811489003704,0.9050876788506191
0.9369615031893177,0.6722665377936324,0.7599925965889421,0.9126754271285992
0.9422653528703859,0.6953189990050215,0.7784142398105853,0.9202244644297618
0.9475692025514542,0.7191168584868757,0.7971496003284306,0.9277351837393414
0.9528730522325224,0.743684218593235,0.8162022197849575,0.9352079720885369
0.9581769019135906,0.7690459610245555,0.8355756597019932,0.9426432106741792
0.9634807515946588,0.7952277720277712,0.8552735014807126,0.9500412749754155
0.9687846012757271,0.8222561684111974,0.8752993464016385,0.9574025348674929
0.9740884509567953,0.8501585244006249,0.8956568156246423,0.9647273547327153
0.9793923006378635,0.8789630993637966,0.9163495501889422,0.9720160935686794
0.9846961503189318,0.9086990664313579,0.9373812110131055,0.9792691050938481
0.99,0.9393965420432572,0.9587554788950465,0.986486737850557
