domain,A1_n,extension_nonoverlap_n,A1_mean_Q,extension_nonoverlap_mean_Q,mean_difference_extension_minus_A1
arxiv,1419,16104,0.7323392322933862,0.7312788011821509,-0.001060431111235216
github,10000,193752,0.40574845551540956,0.4049088903414468,-0.0008395651739627752
