appendix_pair,scale,data_status,domains_evaluated,recipe_count,mean_domain_r2,median_domain_r2,mean_domain_mae,median_domain_mae,mean_domain_rmse,mean_domain_spearman,median_domain_error_amplification,exact_recipe_overlap_with_A4_A5
A10-A11,1B,observed cross-scale,13,64,-549.3750267544433,-403.0338919051345,2.832235263522337,2.6997919051999375,2.8592896726773795,0.903722879684418,17.473056919107037,0
A12-A13,10B,estimated cross-scale,13,63,-237.4909735196941,-232.65266304218233,3.5748539896522527,3.560867061704711,3.6214506167683376,0.5797922806084188,21.96022891966057,63
A14-A15,70B,estimated cross-scale,13,63,-386.79146719296625,-373.09030248640914,3.9577670543653176,3.9444797601174098,4.005950725673273,0.49578490874276315,24.30103599534852,63
A6-A7,1M,observed held-out,13,256,0.8688430808265508,0.8996445968390715,0.21926125099742283,0.15810514870597905,0.2679741664322938,0.9491887225557687,1.0,0
A8-A9,60M,observed cross-scale,13,256,-7.5202318740823175,-8.09177890114396,1.4894084585288583,1.3714033766240425,1.5223481045825553,0.9449246879236578,8.560462574807815,0
