split,mean,median,min,max
test,0.7640882849469949,0.7544938793042555,0.6772788818177016,0.8596656070250513
test_1b,-606.1861867864623,-457.6960403423923,-2804.818120857046,-92.67044760957658
test_60m,-7.966757735037303,-8.448273285148938,-12.9154744330554,-3.187654272393485
