domain,n,Q_document_equal,Q_length_weighted,difference_length_minus_equal
arxiv,1419,0.7323392322933862,0.7303857344067344,-0.0019534978866517783
book,171,0.5810709891538335,0.5969566131219167,0.01588562396808324
c4,10000,0.5235982419753048,0.5851333389965944,0.061535097021289564
commoncrawl,9640,0.5661415071862087,0.5864839295482023,0.020342422361993573
github,10000,0.40574845551540956,0.46330330404741865,0.057554848532009095
stackexchange,10000,0.5425290965983053,0.5683305640358239,0.025801467437518655
wikipedia,10000,0.4389126603964221,0.5521801413299252,0.11326748093350308
