loss_domain,donor_domain,recipient_1,recipient_2,transfer_each,n_test_recipes,mean_nonadditive_delta_loss,median_nonadditive_delta_loss,mean_absolute_nonadditive_delta_loss,sign_consistency,interpretation
metric/the_pile_arxiv_val_loss,uspto_backgrounds,wikipedia_en,pubmed_central,0.05,59,-0.019866132546211574,-0.009041269913220518,0.019972549351176296,0.9491525423728814,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,wikipedia_en,pile_cc,0.05,59,-0.043520996474405146,-0.020617864637561212,0.043520996474405146,1.0,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,freelaw,stackexchange,0.05,59,-0.022630661560823714,-0.007885682643204106,0.023947530510140154,0.8135593220338984,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,freelaw,github,0.05,59,-0.028609484860850014,-0.016235281126690815,0.030104277513167913,0.864406779661017,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,freelaw,arxiv,0.05,59,-0.06811086302479935,-0.029987352762351982,0.06816891897925632,0.9661016949152542,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,freelaw,pubmed_central,0.05,59,-0.04985691104532047,-0.011230025245319908,0.05130286146032436,0.9322033898305084,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,freelaw,pile_cc,0.05,59,-0.05023344077286211,-0.016617142259303108,0.051419146527666465,0.9491525423728814,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,stackexchange,github,0.05,59,0.03205877040776788,0.014741870827068126,0.03494334792988983,0.8983050847457628,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,stackexchange,arxiv,0.05,59,0.1584609789048804,0.05404520576329119,0.16006562477650352,0.9322033898305084,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,stackexchange,pubmed_central,0.05,59,0.03479199202204602,0.011613740033842745,0.03651188057625154,0.8813559322033898,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,stackexchange,pile_cc,0.05,59,-0.014760079097198038,-0.0029700637703333754,0.018868579295384783,0.711864406779661,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,github,arxiv,0.05,59,-0.0013429458290849094,-0.0005271474510308849,0.010540707582397342,0.5423728813559322,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,github,pubmed_central,0.05,59,-0.014965176811418814,-0.005431128261847995,0.019467961074566945,0.6779661016949152,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,github,pile_cc,0.05,59,-0.022955482546879326,-0.006217810459251183,0.02612110212072708,0.8135593220338984,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,arxiv,pubmed_central,0.05,59,0.08249764791872134,0.023444240436278463,0.08452115377008597,0.9661016949152542,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,arxiv,pile_cc,0.05,59,-0.023315025680643073,-0.006901869395141702,0.02645464600670344,0.8813559322033898,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,uspto_backgrounds,pubmed_central,pile_cc,0.05,59,-0.020777133696930697,-0.007984770473817626,0.022305054421172126,0.8983050847457628,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,uspto_backgrounds,0.05,47,0.02828841268791485,0.010674237439446621,0.05215381709206998,0.723404255319149,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,stackexchange,0.05,47,-0.028688010233743257,-0.011070884413343585,0.028688010233743257,1.0,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,github,0.05,47,-0.05339749246496699,-0.02768827970924015,0.05339749246496699,1.0,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,arxiv,0.05,47,-0.03697092945963311,-0.014385150985541273,0.03708127653660678,0.9787234042553191,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,pubmed_central,0.05,47,-0.0206028890842517,-0.009258237783350332,0.020793910663427513,0.9574468085106383,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,wikipedia_en,pile_cc,0.05,47,-0.04527532524602616,-0.033922630090341244,0.04531752799807059,0.9787234042553191,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,stackexchange,0.05,47,-0.05364957170578916,-0.021492226878905285,0.05364957170578916,1.0,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,github,0.05,47,-0.0474175987968922,-0.016416326539225423,0.0474175987968922,1.0,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,arxiv,0.05,47,-0.034533199013851434,-0.012086424197068624,0.034533199013851434,1.0,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,pubmed_central,0.05,47,-0.029882509701723868,-0.011055144958442398,0.029906786666618074,0.9787234042553191,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,uspto_backgrounds,pile_cc,0.05,47,-0.024716566309235573,-0.010241470771904737,0.025251515616864804,0.9148936170212766,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,stackexchange,github,0.05,47,0.019154506447256556,0.005580265350935143,0.028048110984620525,0.723404255319149,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,stackexchange,arxiv,0.05,47,0.1679782192350403,0.061793545335305566,0.17322418271053003,0.8936170212765957,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,stackexchange,pubmed_central,0.05,47,0.029824674888978657,0.004764273094736815,0.04387879709836693,0.6808510638297872,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,stackexchange,pile_cc,0.05,47,-0.02476047976543749,-0.00934503573409362,0.025078033772023414,0.9361702127659575,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,github,arxiv,0.05,47,-0.009381044518000325,-0.002960500387084508,0.010256319742645915,0.851063829787234,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,github,pubmed_central,0.05,47,-0.027482869164815342,-0.011855906087363977,0.02761245344399061,0.9574468085106383,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,github,pile_cc,0.05,47,-0.03737326441949761,-0.010720604504151687,0.03820792247473444,0.9361702127659575,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,arxiv,pubmed_central,0.05,47,0.06873519709250661,0.02535481400264583,0.07171222489155127,0.851063829787234,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,arxiv,pile_cc,0.05,47,-0.03356159894409711,-0.01309895108758763,0.034065476930668644,0.8936170212765957,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,freelaw,pubmed_central,pile_cc,0.05,47,-0.02127088854924387,-0.007309528670213616,0.02283609345760635,0.8085106382978723,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,wikipedia_en,uspto_backgrounds,0.05,72,0.0815480426231058,0.04526305787674034,0.0815480426231058,1.0,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,wikipedia_en,freelaw,0.05,72,0.0027521152586461473,-5.4334744178818895e-05,0.027406625254490374,0.5,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,wikipedia_en,github,0.05,72,-0.02935627855288035,-0.008175304846583131,0.044004955545083664,0.75,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,wikipedia_en,arxiv,0.05,72,-0.030164963424495046,-0.010543050468017068,0.03327057122112739,0.8888888888888888,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,wikipedia_en,pubmed_central,0.05,72,0.0012169019616754232,-0.0018416065016211292,0.019259956694583278,0.6111111111111112,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,wikipedia_en,pile_cc,0.05,72,-0.011763649025825662,-0.000580566977094854,0.03451488933448783,0.5277777777777778,"quadratic-model non-additivity; conditional association, not causal synergy"
metric/the_pile_arxiv_val_loss,stackexchange,uspto_backgrounds,freelaw,0.05,72,0.01014064418314479,0.0006591152978474568,0.027853153163950404,0.5277777777777778,"quadratic-model non-additivity; conditional association, not causal synergy"
