metric,forecast_year,estimate,raw_prediction_low_95,raw_prediction_high_95,prediction_low_95,prediction_high_95,physical_low,physical_high,interval_status,t_dof,slope_points_per_year,n_annual_points
p90,2026,48.59333333333416,-13.249984015196532,110.43665068186485,,,0.0,100.0,not_identifiable_df1,1,7.834999999999999,3
p90,2027,56.428333333335104,-25.382685644394215,138.2393523110644,,,0.0,100.0,not_identifiable_df1,1,7.834999999999999,3
maximum,2026,56.98666666666577,-150.79930310764823,264.7726364409798,,,0.0,100.0,not_identifiable_df1,1,6.1099999999999985,3
maximum,2027,63.09666666666635,-211.778334308943,337.9716676422757,,,0.0,100.0,not_identifiable_df1,1,6.1099999999999985,3
