draw,slope,intercept
0,-2.5123628455586036,11.308575508281372
1,0.7364852137578306,3.600402771376326
2,-0.7530264131314306,7.584200806174458
3,-2.420533724690896,11.112185671927506
4,-0.9689337799027494,7.879745647956344
5,-0.7479514499353176,7.3633736438634685
6,-5.204201563617973,16.971533216603053
7,-1.159989856015791,8.325718590240701
8,-2.566537068945679,11.429798145878337
9,-1.0182221972511356,7.966061967702203
10,-1.1724879063600862,8.326976921621
11,0.4259619415145988,4.5473236651978
12,-3.461281044205604,13.365914612318072
13,0.20784741289938152,5.04189441153623
14,0.2054365852312235,5.074888881174692
15,1.2615854777396098,2.3445543747555635
16,-0.5960217428086776,7.271500036644003
17,-3.4662172383948664,13.229988665335238
18,-0.3539246184405047,6.523839632594404
19,0.19087178360725693,5.0610950051022785
20,-0.01343238461213808,5.477112440978749
21,0.4750341869276528,4.381624894900039
22,-2.7504197468241993,11.78594254652717
23,0.35637112626958883,4.622099204015412
24,-0.8661198566987628,7.7968213875212475
25,0.060851416190880456,5.448076137717518
26,-0.5817233716588908,7.258248304580544
27,-0.6618812055571777,7.4610489090953
28,-0.43679738171131716,6.751539906553517
29,-2.1944675887900216,10.670697502764543
30,-1.2813647868291067,8.556596940820143
31,-1.0715066889815885,8.059317278488361
32,-0.15670549507984072,6.015664747781873
33,-2.630867411926925,11.564549006700162
34,-0.7428991878520369,7.397761083257036
35,-0.8496371359372439,7.655895784601152
36,-0.20556308759813524,6.0965124671288
37,-2.5959875334379645,11.455974048653301
38,-2.5427696374050126,11.376020670136135
39,-1.2523158976093371,8.519425072656498
40,-1.9275598832795637,9.93451497747322
41,-1.1240191822406558,8.241071854432397
42,-2.7125371240305944,11.700306789143195
43,-0.21115413179850273,6.272632197173355
44,-1.0542856261950089,8.165822668444747
45,-5.114680483330422,16.780193896596316
46,-0.8422888255637445,7.394630959789131
47,-0.7892312761660645,7.481462061221892
48,-0.5330283488303946,6.982848211672891
49,-0.8604587193969636,7.553994590155861
50,-1.3696241497631032,8.917715101258759
51,-0.8669014774413522,7.660766230666919
52,-0.620358699320515,7.266160488909636
53,-0.6250533617498083,7.36809809495019
54,0.355152376791724,4.90423211765795
55,-3.4087784823131395,13.15045562554917
56,-0.7892312761660645,7.481462061221892
57,-2.241359899531087,10.735142144905343
58,-0.43967010488996017,6.877881982083334
59,-0.20157759487395077,5.913014585357017
60,-0.09976522622859102,5.860155791468035
