draw,scale_coef,time_coef_per_month,variance_share_scale,variance_share_time,variance_share_residual
0,6.689351457107735,-0.07735284069228765,0.39421731157910306,0.014597650842084586,0.5911850375788124
1,6.478485985461966,0.2694180197105398,0.3755809560372289,0.00622479256109193,0.6181942514016792
2,7.127242967814001,0.16200297898146765,0.4075631853901791,0.0036531856794427275,0.5887836289303782
3,6.383695526648163,0.0995464829031345,0.3319247134732991,0.0013308663944175958,0.6667444201322833
4,5.446656521371274,-0.006075180928401203,0.31696859963421914,0.009732309794102612,0.6732990905716782
5,6.4946728443350334,0.26489580998231066,0.3692534231911771,0.00569786302056402,0.6250487137882589
6,6.035758877281024,0.24157875667095396,0.381513438506957,0.006126671949320983,0.612359889543722
7,5.652619691984824,0.020445832598403157,0.3331279699559146,0.010768234080106687,0.6561037959639787
8,5.450947965430407,-0.008489520881044044,0.33118379326569375,0.011640130033778007,0.6571760767005282
9,6.610255711233463,0.019017494794264067,0.3431131032884056,0.0037987420878596856,0.6530881546237347
10,5.936924397948418,0.00133261594194245,0.33379887115230805,0.011196618910141953,0.65500450993755
11,6.484400048980145,0.1592911179634573,0.3292303084648199,0.002872047920218057,0.6678976436149621
12,6.692435636377052,0.20380673564892238,0.3691229099373626,0.008884214529058798,0.6219928755335786
13,6.700603183889415,0.28036301508927064,0.4011611147881912,0.0076549737702808485,0.5911839114415279
14,5.942807175365812,0.1715463612987831,0.32559285972456564,0.007327389380774374,0.66707975089466
15,6.53852361026617,0.14331144386509198,0.4028229111588027,0.0052147405262713,0.591962348314926
16,6.582915277909802,0.0839699698803349,0.34228787973921454,0.0021695923741231193,0.6555425278866623
17,6.177073991527319,0.12051568912782162,0.345578705429134,0.003522931975223298,0.6508983625956427
18,6.796614464429492,-0.02034655125404594,0.3749281414167216,0.009110457929307425,0.615961400653971
19,6.062208603955782,0.1591063018543455,0.3876197904166502,0.004170226548453226,0.6082099830348966
20,5.821550374494107,-0.05069079700952006,0.2961527617573793,0.015908857945979682,0.687938380296641
21,6.09083959918233,-0.060836480526488046,0.3528162264705041,0.01181417793440026,0.6353695955950956
22,6.3361222999911195,0.019848925274051687,0.3605875005292381,0.011733656864310216,0.6276788426064517
23,5.49543063206429,-0.10534186191229278,0.3355829195497593,0.014893180248163551,0.6495239002020772
24,6.206999903541065,-0.04405290264804673,0.35251490381923856,0.015575928833770236,0.6319091673469912
25,6.386270560006814,0.12473985089523154,0.3512156538709974,0.0022870798100209644,0.6464972663189816
26,6.860233378024329,0.13662902547144906,0.3557496219412794,0.007178441891620813,0.6370719361670998
27,5.228880186536786,-0.06772749553021384,0.3170089836380257,0.011694810736604333,0.67129620562537
28,5.605058589455886,0.0660384748146905,0.3285888266857012,0.009812909226563082,0.6615982640877357
29,5.78238144703833,-0.07440745209030641,0.3209496469092413,0.013563992533717317,0.6654863605570414
30,6.35536562826971,-0.03990979811183948,0.39741872728238026,0.015042920483890665,0.5875383522337291
31,6.121568542776977,-0.012464155200897054,0.3280194968755301,0.014632822713529947,0.6573476804109399
32,6.748091708426344,0.16680301498445083,0.4085510491212589,0.005647294105826817,0.5858016567729143
33,5.686797665931271,0.02828316897721539,0.330772659965185,0.007537174869922447,0.6616901651648925
34,5.622872910213427,0.005636373557436514,0.3301891554924707,0.013079417730433807,0.6567314267770955
35,5.514685567938194,-0.04041341040677615,0.3281512562190277,0.010699483714512736,0.6611492600664596
36,6.319045358679518,0.12435611505227939,0.34954447621238033,0.006097452483928845,0.6443580713036908
37,5.5383488201832805,-0.047180269088666904,0.33000041223040594,0.011669001302439475,0.6583305864671546
38,6.217831254867391,0.1365888520922116,0.3496257847326917,0.009813564338541303,0.640560650928767
39,6.408947657374592,0.12180796426172513,0.36253583030044084,0.004315681705618413,0.6331484879939407
40,6.38615018582636,0.20855337490385661,0.3662480323118547,0.0056709769892572814,0.628080990698888
41,5.865718972365438,-0.015372467242221965,0.3208281934584699,0.007250746780508632,0.6719210597610215
42,6.429874416020883,-0.07404561669799214,0.37824197765723794,0.00871913040092126,0.6130388919418408
43,6.328103941570417,0.047048235365583224,0.3323771386376803,0.004729961828369322,0.6628928995339504
44,5.285678280982564,0.08761456518346833,0.29381627776868435,0.0025302739244624783,0.7036534483068532
45,6.1504757087503314,0.23743790460160064,0.33285370426541405,0.0042112978662358636,0.6629349978683501
46,5.6505755874356565,-0.006294219569809911,0.35630580662587413,0.010792238714264657,0.6329019546598612
47,5.965037706866624,0.10570527255064999,0.347637030432293,0.00372531199386239,0.6486376575738446
48,5.5013345813197745,0.0678962890343584,0.33566981968303855,0.0032987624611933164,0.6610314178557681
49,5.825748836697001,0.09419857059138081,0.3259597736880742,0.0008787151443235275,0.6731615111676023
50,6.243922880433828,0.11343011014646365,0.35000200760894873,0.0020423923304450087,0.6479556000606063
51,6.608399615787165,0.09132169566873571,0.38065057921278933,0.007422470874207443,0.6119269499130032
52,7.075408945182279,0.14524185864793715,0.40571428145450056,0.0037993536928146443,0.5904863648526848
53,7.171445356078964,0.2811357271876993,0.3886587179519847,0.006247956655929365,0.6050933253920859
54,6.025006863693651,0.13621981748354717,0.34012998941783146,0.0045292430216610224,0.6553407675605075
55,6.143533721334887,0.03577574637414127,0.34065410051130196,0.009297090228923777,0.6500488092597743
56,6.09205741222312,0.07407238113457737,0.3748794366796792,0.00967712770367507,0.6154434356166457
57,5.866211181090849,0.023413800977810872,0.3234499653749656,0.011350599248113324,0.665199435376921
58,5.77015510861161,0.09052434904288287,0.3547947911723682,0.010926208269861959,0.6342790005577699
59,5.770135204476107,0.08887193768516077,0.29615901198289335,0.0030401466307946046,0.700800841386312
60,6.0508527568659725,-0.12428428881466758,0.3638759085283797,0.021288671007402393,0.6148354204642179
61,6.235235514883652,-0.08801422694517935,0.3790011859277582,0.012883967217783843,0.6081148468544579
62,6.535264116595728,0.17312062123464056,0.3594881930924603,0.006672609804020957,0.6338391971035188
63,6.026201436848761,0.3650149542269574,0.3012807684429746,0.011577326569033208,0.6871419049879922
64,5.895558104474621,-0.05278689336528952,0.3218588998748785,0.012585794471584366,0.6655553056535372
65,6.428006947569662,0.08474500471861646,0.3663911936835576,0.012334720007045441,0.621274086309397
66,6.759052069639379,0.08477837586344261,0.37005071226314207,0.00572866717189241,0.6242206205649655
67,6.854998461157413,0.13370996912997324,0.3944158907109712,0.009478280658694771,0.596105828630334
68,5.9430185716915105,-0.07991470807619105,0.33492693855286215,0.01270628971145471,0.6523667717356831
69,6.505872895629623,-0.02713959535609245,0.3988815491119134,0.014104412972354985,0.5870140379157316
70,6.086004873380167,0.010671219487748296,0.3545941393439009,0.009457456615819704,0.6359484040402794
71,6.031423958350697,0.018541374683349154,0.3651261751261274,0.010286807961707833,0.6245870169121648
72,6.494577149352666,0.13889471193564695,0.3716166132714898,0.0046614863343842905,0.6237219003941259
73,5.989652534836267,0.09951592531417486,0.3559505207180766,0.003441576511663491,0.6406079027702599
74,6.246319337951089,0.2879482289425219,0.34420286798128874,0.007358489364372445,0.6484386426543388
75,5.711395995608824,0.12979558079551623,0.3154097302568895,0.0043649029273503115,0.6802253668157602
76,6.456714153743806,0.13129776996011522,0.39221757420072484,0.0068081045113354555,0.6009743212879397
77,6.098126820806019,0.2792013327458749,0.32878628918265307,0.0068965712740358676,0.6643171395433111
78,5.804187312301006,0.1056687756010346,0.34483704397811193,0.0071917689397408835,0.6479711870821472
79,6.083341068585872,0.09473156351225143,0.3655502349139106,0.006248607860473654,0.6282011572256158
80,6.3833664979609,-0.06138256652686902,0.3464565283366337,0.016507029031605225,0.6370364426317611
81,6.70021523035269,0.1364049701065584,0.3581705695399617,0.0035092674051401818,0.6383201630548981
82,6.204817636591267,0.11669205756621448,0.3559061865722455,0.005871364656158007,0.6382224487715965
83,6.57156818384964,0.05366275098786755,0.3249227345381826,0.0063771014203991006,0.6687001640414183
84,5.390914941346438,0.13306537301686916,0.2871638927115905,0.003020094458364264,0.7098160128300453
85,7.252028407450986,0.41575638195865405,0.3899990516540261,0.012572748382084276,0.5974281999638896
86,6.818515637476834,0.12060271115353505,0.39431297947980887,0.006104794516870904,0.5995822260033202
87,6.797559757036051,0.04038849086966234,0.3826076934662941,0.005173009716141208,0.6122192968175647
88,6.367490212673598,0.0898994888962763,0.3357315835687061,0.0059339531221716535,0.6583344633091223
89,6.672757596015536,0.24038870585753003,0.32996095535234093,0.004814613234530807,0.6652244314131283
90,5.3614110528634935,0.021782436634183888,0.28893169681407754,0.004573078056612945,0.7064952251293095
91,5.807170823454628,0.09444290971083724,0.32805612255093747,0.013797704283874557,0.658146173165188
92,6.634067449415826,0.0623496889132662,0.37060232757887174,0.0038885062586452857,0.625509166162483
93,7.009697027880372,0.17725502241649949,0.4016377371609016,0.00496711968550495,0.5933951431535934
94,6.315813959296279,0.1394395127280701,0.33457148613787846,0.004324754046318047,0.6611037598158035
95,6.413805003502917,0.07074864750121534,0.35534636196067376,0.00809757927022009,0.6365560587691061
96,7.121501433252684,-0.018346826346445688,0.4333842195894114,0.015530430955956964,0.5510853494546316
97,5.753154092823502,0.03268394956554843,0.34553325184815886,0.005420210420628679,0.6490465377312125
98,5.75478715698766,0.22696312036027777,0.3561509368592683,0.004848981510488792,0.6390000816302429
99,5.875668223614781,0.14391641442274494,0.32132575189466045,0.005726069906444697,0.6729481781988949
100,6.885582989457796,0.09810576161249074,0.3492989147014124,0.006881325587017262,0.6438197597115703
101,6.971726954922302,0.19257516482574388,0.4012515468322307,0.006554678116497736,0.5921937750512716
102,6.081875614482024,0.06800588314618139,0.3570403740222639,0.00463158675345271,0.6383280392242834
103,6.5193898946406,0.09830656946734972,0.37235615734794597,0.010236497214318574,0.6174073454377355
104,5.092286603625037,0.04357475541128242,0.2955831063759803,0.00787012785840413,0.6965467657656156
105,6.19505850357007,0.07432585559474969,0.37102355199501547,0.008754444126038763,0.6202220038789458
106,5.564996954494252,-0.14991638334506696,0.31297966556217155,0.01878740317460076,0.6682329312632277
107,6.774265438928448,-0.15928989602736543,0.34094126936138847,0.029020410979554656,0.6300383196590569
108,5.441375224588854,0.13316913453839163,0.34098536005343627,0.011998051742399873,0.6470165882041639
109,6.321982777956244,-0.11181174286864426,0.3446852312695185,0.018585556569890305,0.6367292121605912
110,5.55657223823233,-0.07903953832566035,0.287110452608004,0.011201292080265157,0.7016882553117308
111,5.479003586410546,-0.05510148654619851,0.35930160676741746,0.020202130371727522,0.620496262860855
112,5.91375657100365,-0.015020865165784159,0.33903827841301487,0.009339604049334593,0.6516221175376505
113,5.741986450912953,-0.02354442175771787,0.29143606288712226,0.011444531107943912,0.6971194060049338
114,4.997487406202481,-0.08289770874461233,0.30680339869802253,0.01646713261380206,0.6767294686881754
115,6.236431884112793,-0.0033186951711021706,0.387533131522082,0.008320986253971041,0.6041458822239469
116,6.456726881680197,0.1562857271211291,0.36491060754330934,0.006481708130990527,0.6286076843257001
117,7.0181946245845594,0.06320928989679775,0.3428565990264406,0.00805463640928783,0.6490887645642716
118,6.498420585562334,0.041405938398564324,0.346406933258888,0.007290576132438942,0.6463024906086731
119,6.310179587779926,0.03883583299474225,0.32836233568231393,0.002433335063428077,0.669204329254258
120,6.5815775687007845,0.04453126722070522,0.3998607385817007,0.010988769873049642,0.5891504915452497
121,5.811491770835538,0.14338273085936049,0.3755106992245233,0.008800092804075899,0.6156892079714008
122,5.947000444752936,0.049159712141571,0.31374083383094165,0.007629800481357973,0.6786293656877004
123,6.126193293246259,0.0580171667671463,0.3266773741433745,0.004977035925147977,0.6683455899314775
124,5.64275372888685,0.07655537998572459,0.30909687438439304,0.005983334898732928,0.684919790716874
125,7.414210404038445,0.2279072726425193,0.39468609384222986,0.010295368438486663,0.5950185377192835
126,6.256135166254982,0.06157170225720332,0.33387587949414504,0.005189607014947251,0.6609345134909077
127,6.405539488903794,0.3144175693972313,0.327788218886531,0.008128473301245664,0.6640833078122234
128,6.20117398124668,0.03862847275029235,0.30599119010791515,0.009118872457872407,0.6848899374342124
129,6.717780768638626,0.25009647490587916,0.377987900453506,0.006687567489815527,0.6153245320566785
130,6.017012471926623,0.06364053160241046,0.37926074795865533,0.011881430273183391,0.6088578217681613
131,6.539577734039633,-0.0822999759824583,0.3619442046408591,0.02543482571950395,0.612620969639637
132,6.135191948572453,0.08264500274643272,0.3287433868404566,0.0020788232463692657,0.6691777899131741
133,6.120031679775392,0.06871842056130095,0.33828419280428923,0.00551068418617473,0.656205123009536
134,6.496431866486026,0.08869733780336198,0.3489919294826522,0.007061276953358175,0.6439467935639897
135,5.556362216449288,0.05446701881876681,0.3187429232155998,0.006642318000083858,0.6746147587843163
136,5.713724239061683,0.012002407743811894,0.311180336961437,0.014008819665324523,0.6748108433732385
137,5.975247449959235,0.02641714495143077,0.3808729074088025,0.0107902776917847,0.6083368148994128
138,6.262377558760653,0.012850008480737252,0.38444776388116164,0.01354689731693337,0.602005338801905
139,5.933896846302464,-0.03570475228951775,0.33076359933831256,0.004815064294316218,0.6644213363673712
140,6.995190431984771,0.08658125427032726,0.3567733924909843,0.012071263914169683,0.631155343594846
141,5.771760617252795,-0.04641142036637458,0.3420996513380304,0.017126390743784803,0.6407739579181848
142,6.235336149475112,0.017894131466508867,0.39172291533402487,0.011341157675553715,0.5969359269904214
143,6.775526029448987,0.11252786925161118,0.37348362294246706,0.004927035336587671,0.6215893417209453
144,6.15057294845719,-0.07812979969300038,0.345165936180141,0.012188781478914112,0.6426452823409449
145,5.925702606552966,0.17672988529092315,0.30626189374312235,0.007628502819353844,0.6861096034375238
146,6.585841601790695,0.13168538067074564,0.3575433580465909,0.005565833888180882,0.6368908080652282
147,5.11792416191955,-0.028878521966789528,0.280102931794567,0.011210670595116157,0.7086863976103168
148,5.71633279551665,-0.03261839155820301,0.31032384205946895,0.01041848323228256,0.6792576747082485
149,5.961040967896314,-0.033819193787839374,0.32162109391094845,0.011256021838811858,0.6671228842502397
150,5.990907224134192,0.0015943695542839365,0.32524242817503374,0.012574149514194055,0.6621834223107722
151,6.431019930944404,0.015229021593277103,0.34765118559814867,0.00800080853742069,0.6443480058644306
152,6.168965438439601,0.059844446546970076,0.378235168439265,0.006376570733595044,0.6153882608271399
