task,n,scale_slope_points_per_log10_params,r2,spearman_rho,params_coverage
ARC-Challenge,84,16.02332572631535,0.5559728254426648,0.71070629986162,0.9882352941176471
BBH,1947,15.839148393685056,0.5648811914522407,0.7474778060580523,0.9974385245901639
GPQA,1943,4.2143014578495235,0.36251768398410256,0.6603721021290341,0.9974332648870636
IFEval,1945,18.51340385983051,0.2139130788614878,0.4262304924814633,0.9974358974358974
MATH-Hard,1946,9.412808437410336,0.20605468143229055,0.4876410991188974,0.9974372116863147
MMLU-Pro,1945,17.082023073565278,0.532758948843749,0.7117521957544102,0.9974358974358974
MuSR,1943,5.067868638233189,0.36863041141924713,0.5908876554573169,0.9974332648870636
