task,c3_score_column,n,year_start,year_end,year_slope_adjusted_points_per_year,scale_slope_points_per_log10_params,r2_adjusted,year_slope_unadjusted,year_slope_pvalue_unadjusted
BBH,BBH,4588,2022,2025,3.712433990530613,21.227643071597967,0.47497830787281325,1.2643752496119864,0.004504979970713052
GPQA,GPQA,4588,2022,2025,1.5938787716176757,5.948576344428149,0.34273356496069807,0.9078645840377007,8.809273707201502e-10
IFEval,IFEval,4588,2022,2025,3.9206694629944288,17.46682854759009,0.17873266562238033,1.9063232561248469,0.001476649964969316
MATH-Hard,MATH_Lvl5,4588,2022,2025,8.01276639380454,13.503801229971494,0.2585684035307705,6.455452728544523,5.211428289092786e-53
MMLU-Pro,MMLU_PRO,4588,2022,2025,3.7578389931770495,19.33787339573498,0.44893282547837976,1.5277162311947161,0.00025357622838665327
MuSR,MUSR,4588,2022,2025,1.1293086586551677,6.412558777745493,0.29641215310305224,0.3897861165356107,0.02205695002965547
