Year,n,mean,p90,maximum
2019,1,5.0,5.0,5.0
2020,1,50.0,50.0,50.0
2021,2,3.5,4.7,5.0
2022,7,16.0,32.0,35.0
2023,13,12.923076923076923,24.000000000000004,35.0
2024,2673,21.120710811821926,35.10000000000001,52.08
2025,1902,22.7833596214511,39.67,47.22
