budget_flops,N_params_B,direct_score_raw,direct_score,c8_layer_score
1e+19,0.2152044133793149,1.826898683513491,40.0,21.47316637376597
1.1659144011798315e+19,1.0333145446200291,11.028144723544862,40.0,21.47316637376597
1.3593563908785254e+19,1.851424675860743,14.448302573512787,40.0,21.47316637376597
1.5848931924611131e+19,2.6695348071014573,16.594457235746674,40.0,21.47316637376597
1.8478497974222905e+19,3.4876449383421715,18.162204959667655,40.0,21.47316637376597
2.154434690031883e+19,4.305755069582885,19.39803410588349,40.0,21.47316637376597
2.5118864315095798e+19,5.123865200823599,20.418225162345898,40.0,21.47316637376597
2.928644564625237e+19,5.941975332064316,21.28696792112359,40.0,21.47316637376597
3.4145488738336006e+19,6.760085463305027,22.043469602029155,40.0,21.47316637376597
3.9810717055349735e+19,7.578195594545744,22.713442660559963,40.0,21.47316637376597
4.641588833612777e+19,8.396305725786455,23.314665239787473,40.0,21.47316637376597
5.411695265464638e+19,9.214415857027172,23.859943300217225,40.0,21.47316637376597
6.309573444801933e+19,10.032525988267889,24.358807677626565,40.0,21.47316637376597
7.356422544596414e+19,10.8506361195086,24.81854369558023,40.0,21.47316637376597
8.576958985908942e+19,11.668746250749315,25.244845492422655,40.0,21.47316637376597
1e+20,12.486856381990028,25.64224811397809,40.0,21.47316637376597
1.1659144011798317e+20,13.304966513230742,26.014422214012292,40.0,21.47316637376597
1.3593563908785255e+20,14.123076644471457,26.364380666297954,40.0,21.47316637376597
1.5848931924611134e+20,14.94118677571217,26.69462691019291,40.0,21.47316637376597
1.8478497974222907e+20,15.759296906952883,27.007263699388766,40.0,21.47316637376597
2.1544346900318837e+20,16.5774070381936,27.304074296776044,40.0,21.47316637376597
2.51188643150958e+20,17.395517169434314,27.586584090561516,40.0,21.47316637376597
2.928644564625236e+20,18.21362730067503,27.85610803723229,40.0,21.47316637376597
3.414548873833601e+20,19.03173743191574,28.1137876720925,40.0,21.47316637376597
3.981071705534973e+20,19.84984756315646,28.360620324629203,40.0,21.47316637376597
4.64158883361278e+20,20.66795769439717,28.597482429511622,40.0,21.47316637376597
5.411695265464638e+20,21.486067825637885,28.825148309680273,40.0,21.47316637376597
6.309573444801934e+20,22.3041779568786,29.044305447574175,40.0,21.47316637376597
7.356422544596414e+20,23.12228808811932,29.255567004109167,40.0,21.47316637376597
8.576958985908941e+20,23.940398219360027,29.45948215998358,40.0,21.47316637376597
1e+21,24.758508350600746,29.656544718636646,40.0,21.47316637376597
1.165914401179831e+21,25.576618481841454,29.84720031013807,40.0,21.47316637376597
1.3593563908785255e+21,26.39472861308217,30.03185246046081,40.0,21.47316637376597
1.584893192461114e+21,27.212838744322887,30.21086773404779,40.0,21.47316637376597
1.8478497974222908e+21,28.0309488755636,30.384580114449406,40.0,21.47316637376597
2.154434690031884e+21,28.849059006804318,30.553294754608487,40.0,21.47316637376597
2.51188643150958e+21,29.667169138045026,30.717291202600265,40.0,21.47316637376597
2.928644564625237e+21,30.485279269285744,30.876826188477345,40.0,21.47316637376597
3.414548873833601e+21,31.303389400526456,31.032136041984828,40.0,21.47316637376597
3.981071705534973e+21,32.12149953176717,31.183438798306007,40.0,21.47316637376597
4.6415888336127777e+21,32.939609663007886,31.330936038931853,40.0,21.47316637376597
5.411695265464638e+21,33.7577197942486,31.474814506656614,40.0,21.47316637376597
6.309573444801929e+21,34.57582992548932,31.615247527162254,40.0,21.47316637376597
7.356422544596414e+21,35.39394005673003,31.752396264337932,40.0,21.47316637376597
8.576958985908938e+21,36.212050187970746,31.886410832137628,40.0,21.47316637376597
1e+22,37.03016031921146,32.017431282210914,40.0,21.47316637376597
1.1659144011798312e+22,40.909437583297255,32.60171310249541,40.0,21.47316637376597
1.3593563908785255e+22,44.78871484738307,33.13302183837271,40.0,21.47316637376597
1.584893192461114e+22,48.66799211146889,33.62016953890522,40.0,21.47316637376597
1.8478497974222909e+22,52.54726937555468,34.06993728206198,40.0,21.47316637376597
2.1544346900318848e+22,56.42654663964049,34.487655013012315,40.0,21.47316637376597
2.5118864315095798e+22,60.30582390372629,34.87758816878272,40.0,21.47316637376597
2.9286445646252377e+22,64.1851011678121,35.24320354452645,40.0,21.47316637376597
3.4145488738336008e+22,68.0643784318979,35.58735701362488,40.0,21.47316637376597
3.9810717055349735e+22,71.94365569598372,35.912429141300734,40.0,21.47316637376597
4.6415888336127774e+22,75.8229329600695,36.22042513882653,40.0,21.47316637376597
5.411695265464638e+22,79.70221022415532,36.51304985027249,40.0,21.47316637376597
6.30957344480193e+22,83.58148748824112,36.79176490095518,40.0,21.47316637376597
7.356422544596414e+22,87.46076475232692,37.05783286932774,40.0,21.47316637376597
8.576958985908937e+22,91.34004201641272,37.31235186510645,40.0,21.47316637376597
1e+23,95.21931928049854,37.556282910307495,40.0,21.47316637376597
1.1659144011798311e+23,99.09859654458432,37.79047184918503,40.0,21.47316637376597
1.3593563908785245e+23,102.97787380867013,38.01566704865371,40.0,21.47316637376597
1.5848931924611142e+23,106.85715107275595,38.23253382390882,40.0,21.47316637376597
1.8478497974222903e+23,110.73642833684175,38.441666290431016,40.0,21.47316637376597
2.1544346900318824e+23,114.61570560092754,38.64359717442375,40.0,21.47316637376597
2.5118864315095825e+23,118.49498286501338,38.8388059896709,40.0,21.47316637376597
2.9286445646252373e+23,122.37426012909918,39.02772589673911,40.0,21.47316637376597
3.414548873833601e+23,126.25353739318496,39.21074949138893,40.0,21.47316637376597
3.9810717055349694e+23,130.1328146572708,39.38823371672973,40.0,21.47316637376597
4.641588833612782e+23,134.0120919213566,39.56050405363035,40.0,21.47316637376597
5.411695265464638e+23,137.8913691854424,39.72785811301632,40.0,21.47316637376597
6.30957344480193e+23,141.7706464495282,39.8905687296618,40.0,21.47316637376597
7.356422544596406e+23,145.649923713614,40.04888663825321,40.04888663825321,21.47316637376597
8.576958985908945e+23,149.52920097769982,40.20304279763103,40.20304279763103,21.47316637376597
1e+24,153.40847824178562,40.35325041729566,40.35325041729566,21.47316637376597
1.1659144011798312e+24,161.75302060895447,40.66387911718598,40.66387911718598,21.47316637376597
1.359356390878524e+24,170.0975629761233,40.95887923801644,40.95887923801644,21.47316637376597
1.584893192461114e+24,178.44210534329227,41.23974836578416,41.23974836578416,21.47316637376597
1.8478497974222908e+24,186.78664771046112,41.50777863648987,41.50777863648987,21.47316637376597
2.1544346900318823e+24,195.13119007762995,41.76409267870403,41.76409267870403,21.47316637376597
